team,season,typical_batting_order,left_hand_top6_pct,aggressive_opener_pct,powerplay_sr,middle_sr,death_sr,vs_spin_economy,vs_pace_economy,vs_leftarm_economy,vs_legspin_economy,vs_offspin_economy,vs_leftarm_spin_economy,chase_win_pct,defend_win_pct,likely_bowling_order,powerplay_bowling_economy,death_bowling_economy,pace_overs_pct,spin_overs_pct,is_estimated
Islamabad United,0,"{""1"": ""Sahibzada Farhan"", ""2"": ""AD Hales"", ""3"": ""C Munro"", ""4"": ""Shadab Khan"", ""5"": ""Azam Khan"", ""6"": ""Asif Ali"", ""7"": ""Faheem Ashraf"", ""8"": ""Imad Wasim""}",0,43.8,132.5,128.7,157.5,7.63,8.41,7.89,7.72,7.84,7.48,65.1,34.9,"{""1"": ""Naseem Shah"", ""2"": ""Faheem Ashraf"", ""3"": ""Naseem Shah"", ""4"": ""Faheem Ashraf"", ""5"": ""Faheem Ashraf"", ""6"": ""Faheem Ashraf"", ""7"": ""Shadab Khan"", ""8"": ""Shadab Khan"", ""9"": ""Shadab Khan"", ""10"": ""Shadab Khan"", ""11"": ""Shadab Khan"", ""12"": ""Shadab Khan"", ""13"": ""Shadab Khan"", ""14"": ""Shadab Khan"", ""15"": ""Shadab Khan"", ""16"": ""Shadab Khan"", ""17"": ""Hasan Ali"", ""18"": ""Hasan Ali"", ""19"": ""Naseem Shah"", ""20"": ""Faheem Ashraf""}",7.7,9.82,18.8,23.4,FALSE
Islamabad United,2016,"{""1"": ""SR Watson"", ""2"": ""Sharjeel Khan"", ""3"": ""BJ Haddin"", ""4"": ""Khalid Latif"", ""5"": ""AD Russell"", ""6"": ""Misbah-ul-Haq"", ""7"": ""Azhar Mahmood"", ""8"": ""Imran Khalid""}",16.7,27.3,110.6,120,140.6,6.46,6.67,6.67,6.44,6.46,6.47,71.4,28.6,"{""1"": ""Mohammad Irfan"", ""2"": ""Imran Khalid"", ""3"": ""Mohammad Irfan"", ""4"": ""Rumman Raees"", ""5"": ""Mohammad Sami"", ""6"": ""Rumman Raees"", ""7"": ""S Badree"", ""8"": ""AD Russell"", ""9"": ""S Badree"", ""10"": ""Imran Khalid"", ""11"": ""S Badree"", ""12"": ""Imran Khalid"", ""13"": ""S Badree"", ""14"": ""SR Watson"", ""15"": ""AD Russell"", ""16"": ""Mohammad Irfan"", ""17"": ""Mohammad Sami"", ""18"": ""Mohammad Sami"", ""19"": ""AD Russell"", ""20"": ""Rumman Raees""}",6.21,9.06,0,0.5,FALSE
Islamabad United,2017,"{""1"": ""DR Smith"", ""2"": ""Rafatullah Mohmand"", ""3"": ""BJ Haddin"", ""4"": ""Misbah-ul-Haq"", ""5"": ""SR Watson"", ""6"": ""Asif Ali"", ""7"": ""Shadab Khan"", ""8"": ""Mohammad Sami""}",0,22.2,100,119.8,158.7,5.97,6.72,6.72,6.33,5.97,5.61,50,50,"{""1"": ""Mohammad Irfan"", ""2"": ""Mohammad Sami"", ""3"": ""Mohammad Irfan"", ""4"": ""Rumman Raees"", ""5"": ""Mohammad Irfan"", ""6"": ""Rumman Raees"", ""7"": ""Shadab Khan"", ""8"": ""Saeed Ajmal"", ""9"": ""Shadab Khan"", ""10"": ""SR Watson"", ""11"": ""Amad Butt"", ""12"": ""SR Watson"", ""13"": ""Rumman Raees"", ""14"": ""Mohammad Sami"", ""15"": ""Mohammad Irfan"", ""16"": ""SR Watson"", ""17"": ""Rumman Raees"", ""18"": ""Mohammad Sami"", ""19"": ""Rumman Raees"", ""20"": ""Mohammad Sami""}",7.47,8.32,0,19.1,FALSE
Islamabad United,2018,"{""1"": ""L Ronchi"", ""2"": ""Sahibzada Farhan"", ""3"": ""AD Hales"", ""4"": ""Asif Ali"", ""5"": ""Hussain Talat"", ""6"": ""Faheem Ashraf"", ""7"": ""Shadab Khan"", ""8"": ""AD Russell""}",16.7,50,134.7,117.7,151.8,6.69,9.34,8.94,6.75,7.75,6.21,66.7,33.3,"{""1"": ""SR Patel"", ""2"": ""Mohammad Sami"", ""3"": ""SR Patel"", ""4"": ""Mohammad Sami"", ""5"": ""SR Patel"", ""6"": ""Faheem Ashraf"", ""7"": ""Shadab Khan"", ""8"": ""Faheem Ashraf"", ""9"": ""Shadab Khan"", ""10"": ""Shadab Khan"", ""11"": ""Shadab Khan"", ""12"": ""Shadab Khan"", ""13"": ""AD Russell"", ""14"": ""Shadab Khan"", ""15"": ""Faheem Ashraf"", ""16"": ""Faheem Ashraf"", ""17"": ""AD Russell"", ""18"": ""Mohammad Sami"", ""19"": ""Mohammad Sami"", ""20"": ""Mohammad Sami""}",6.45,8.83,17.1,30.5,FALSE
Islamabad United,2019,"{""1"": ""L Ronchi"", ""2"": ""CS Delport"", ""3"": ""PD Salt"", ""4"": ""CAK Walton"", ""5"": ""Asif Ali"", ""6"": ""Shadab Khan"", ""7"": ""Faheem Ashraf"", ""8"": ""SR Patel""}",0,50,118.9,132.6,150.2,7.57,9.61,10.59,0,9,7.5,66.7,33.3,"{""1"": ""Mohammad Sami"", ""2"": ""Muhammad Musa"", ""3"": ""Rumman Raees"", ""4"": ""Muhammad Musa"", ""5"": ""SR Patel"", ""6"": ""Faheem Ashraf"", ""7"": ""Shadab Khan"", ""8"": ""Shadab Khan"", ""9"": ""Shadab Khan"", ""10"": ""Mohammad Sami"", ""11"": ""Shadab Khan"", ""12"": ""Shadab Khan"", ""13"": ""Shadab Khan"", ""14"": ""Shadab Khan"", ""15"": ""Rumman Raees"", ""16"": ""Mohammad Sami"", ""17"": ""Faheem Ashraf"", ""18"": ""Rumman Raees"", ""19"": ""Faheem Ashraf"", ""20"": ""Mohammad Sami""}",8.51,9.23,18.9,24.1,FALSE
Islamabad United,2020,"{""1"": ""L Ronchi"", ""2"": ""C Munro"", ""3"": ""DJ Malan"", ""4"": ""CA Ingram"", ""5"": ""Asif Ali"", ""6"": ""Rizwan Hussain"", ""7"": ""Faheem Ashraf"", ""8"": ""Amad Butt""}",0,33.3,141.3,144.3,153.5,7.38,7.98,6.83,9,4,8,50,50,"{""1"": ""Muhammad Musa"", ""2"": ""Akif Javed"", ""3"": ""Muhammad Musa"", ""4"": ""Akif Javed"", ""5"": ""Muhammad Musa"", ""6"": ""Akif Javed"", ""7"": ""Shadab Khan"", ""8"": ""Shadab Khan"", ""9"": ""Shadab Khan"", ""10"": ""Shadab Khan"", ""11"": ""Shadab Khan"", ""12"": ""Ahmed Safi Abdullah"", ""13"": ""Shadab Khan"", ""14"": ""Ahmed Safi Abdullah"", ""15"": ""Amad Butt"", ""16"": ""Akif Javed"", ""17"": ""Amad Butt"", ""18"": ""Muhammad Musa"", ""19"": ""Shadab Khan"", ""20"": ""Faheem Ashraf""}",8.73,10.78,23.6,30.5,FALSE
Islamabad United,2021,"{""1"": ""UT Khawaja"", ""2"": ""C Munro"", ""3"": ""Muhammad Akhlaq"", ""4"": ""Hussain Talat"", ""5"": ""Iftikhar Ahmed"", ""6"": ""Asif Ali"", ""7"": ""L Gregory"", ""8"": ""Faheem Ashraf""}",16.7,25,139.8,131.4,164.2,9.4,9.25,7.83,16,7,8.75,75,25,"{""1"": ""Hasan Ali"", ""2"": ""Faheem Ashraf"", ""3"": ""Hasan Ali"", ""4"": ""Mohammad Wasim"", ""5"": ""Hasan Ali"", ""6"": ""Faheem Ashraf"", ""7"": ""Shadab Khan"", ""8"": ""Shadab Khan"", ""9"": ""Shadab Khan"", ""10"": ""Shadab Khan"", ""11"": ""Shadab Khan"", ""12"": ""Shadab Khan"", ""13"": ""Shadab Khan"", ""14"": ""Shadab Khan"", ""15"": ""Faheem Ashraf"", ""16"": ""Mohammad Wasim"", ""17"": ""Hasan Ali"", ""18"": ""Mohammad Wasim"", ""19"": ""Hasan Ali"", ""20"": ""Hasan Ali""}",7.01,9.04,20.1,23.4,FALSE
Islamabad United,2022,"{""1"": ""PR Stirling"", ""2"": ""AD Hales"", ""3"": ""C Munro"", ""4"": ""Shadab Khan"", ""5"": ""Azam Khan"", ""6"": ""Asif Ali"", ""7"": ""Faheem Ashraf"", ""8"": ""Hasan Ali""}",0,83.3,156,129.6,145.3,7.11,7.8,7.03,5.25,9,7.11,40,60,"{""1"": ""Hasan Ali"", ""2"": ""Faheem Ashraf"", ""3"": ""Mohammad Wasim"", ""4"": ""Faheem Ashraf"", ""5"": ""Mohammad Wasim"", ""6"": ""Faheem Ashraf"", ""7"": ""Shadab Khan"", ""8"": ""Shadab Khan"", ""9"": ""Hasan Ali"", ""10"": ""Shadab Khan"", ""11"": ""Hasan Ali"", ""12"": ""Shadab Khan"", ""13"": ""Waqas Maqsood"", ""14"": ""Shadab Khan"", ""15"": ""Mohammad Wasim"", ""16"": ""Faheem Ashraf"", ""17"": ""Hasan Ali"", ""18"": ""Hasan Ali"", ""19"": ""Mohammad Wasim"", ""20"": ""Hasan Ali""}",8.06,11.93,15.6,13.5,FALSE
Islamabad United,2023,"{""1"": ""Rahmanullah Gurbaz"", ""2"": ""AD Hales"", ""3"": ""HE van der Dussen"", ""4"": ""Shadab Khan"", ""5"": ""Azam Khan"", ""6"": ""Asif Ali"", ""7"": ""Faheem Ashraf"", ""8"": ""TK Curran""}",0,36.4,147.6,124.4,192.8,8.12,7.93,8.24,9,8.48,7.53,83.3,16.7,"{""1"": ""Fazalhaq Farooqi"", ""2"": ""Hasan Ali"", ""3"": ""Fazalhaq Farooqi"", ""4"": ""Faheem Ashraf"", ""5"": ""Hasan Ali"", ""6"": ""Faheem Ashraf"", ""7"": ""Shadab Khan"", ""8"": ""Shadab Khan"", ""9"": ""Shadab Khan"", ""10"": ""Shadab Khan"", ""11"": ""Shadab Khan"", ""12"": ""Shadab Khan"", ""13"": ""Shadab Khan"", ""14"": ""Hasan Ali"", ""15"": ""Shadab Khan"", ""16"": ""Mohammad Wasim"", ""17"": ""TK Curran"", ""18"": ""Mohammad Wasim"", ""19"": ""TK Curran"", ""20"": ""Rumman Raees""}",9.27,9.92,16.5,23.7,FALSE
Islamabad United,2024,"{""1"": ""C Munro"", ""2"": ""AD Hales"", ""3"": ""Agha Salman"", ""4"": ""Shadab Khan"", ""5"": ""Azam Khan"", ""6"": ""Haider Ali"", ""7"": ""Faheem Ashraf"", ""8"": ""Imad Wasim""}",0,41.7,124.9,142.9,152.6,8.16,8.68,8.36,9.58,7.86,6.35,75,25,"{""1"": ""Naseem Shah"", ""2"": ""Imad Wasim"", ""3"": ""Naseem Shah"", ""4"": ""Faheem Ashraf"", ""5"": ""Imad Wasim"", ""6"": ""Faheem Ashraf"", ""7"": ""Shadab Khan"", ""8"": ""Shadab Khan"", ""9"": ""Shadab Khan"", ""10"": ""Imad Wasim"", ""11"": ""Shadab Khan"", ""12"": ""Shadab Khan"", ""13"": ""Shadab Khan"", ""14"": ""Faheem Ashraf"", ""15"": ""Shadab Khan"", ""16"": ""Shadab Khan"", ""17"": ""Naseem Shah"", ""18"": ""Naseem Shah"", ""19"": ""Rumman Raees"", ""20"": ""Naseem Shah""}",7.25,10.17,41.9,34.5,FALSE
Islamabad United,2025,"{""1"": ""Sahibzada Farhan"", ""2"": ""AGS Gous"", ""3"": ""C Munro"", ""4"": ""Agha Salman"", ""5"": ""Shadab Khan"", ""6"": ""Azam Khan"", ""7"": ""BJ Dwarshuis"", ""8"": ""Haider Ali""}",0,58.3,144.6,125.2,176.6,8.42,8.33,6.86,7,8.24,11.48,50,50,"{""1"": ""Naseem Shah"", ""2"": ""BJ Dwarshuis"", ""3"": ""Naseem Shah"", ""4"": ""JO Holder"", ""5"": ""Naseem Shah"", ""6"": ""JO Holder"", ""7"": ""Imad Wasim"", ""8"": ""Imad Wasim"", ""9"": ""Imad Wasim"", ""10"": ""Shadab Khan"", ""11"": ""Imad Wasim"", ""12"": ""Shadab Khan"", ""13"": ""Imad Wasim"", ""14"": ""Shadab Khan"", ""15"": ""Imad Wasim"", ""16"": ""Shadab Khan"", ""17"": ""JO Holder"", ""18"": ""Naseem Shah"", ""19"": ""Naseem Shah"", ""20"": ""JO Holder""}",8.28,10.46,27.6,32.8,FALSE
Karachi Kings,0,"{""1"": ""Sharjeel Khan"", ""2"": ""Babar Azam"", ""3"": ""JM Vince"", ""4"": ""Shoaib Malik"", ""5"": ""Irfan Khan"", ""6"": ""Imad Wasim"", ""7"": ""Mohammad Nabi"", ""8"": ""Abbas Afridi""}",33.3,35,122.7,120.7,153.3,7.31,8.43,8.62,7.01,7.29,7.73,54.8,45.2,"{""1"": ""Imad Wasim"", ""2"": ""Mohammad Amir"", ""3"": ""Mir Hamza"", ""4"": ""Mohammad Amir"", ""5"": ""Imad Wasim"", ""6"": ""Abbas Afridi"", ""7"": ""Imad Wasim"", ""8"": ""Imad Wasim"", ""9"": ""Imad Wasim"", ""10"": ""Imad Wasim"", ""11"": ""Imad Wasim"", ""12"": ""Mohammad Nabi"", ""13"": ""Imad Wasim"", ""14"": ""Mohammad Nabi"", ""15"": ""Hasan Ali"", ""16"": ""Hasan Ali"", ""17"": ""Mohammad Amir"", ""18"": ""Mohammad Amir"", ""19"": ""Mohammad Amir"", ""20"": ""Hasan Ali""}",7.66,9.83,17.5,19.1,FALSE
Karachi Kings,2016,"{""1"": ""LMP Simmons"", ""2"": ""Nauman Anwar"", ""3"": ""JM Vince"", ""4"": ""Shakib Al Hasan"", ""5"": ""RS Bopara"", ""6"": ""Iftikhar Ahmed"", ""7"": ""Imad Wasim"", ""8"": ""Sohail Khan""}",0,25,104.8,102.5,135.2,5.75,0,5.75,0,5.75,5.75,50,50,"{""1"": ""Mohammad Amir"", ""2"": ""Sohail Khan"", ""3"": ""Mohammad Amir"", ""4"": ""Sohail Khan"", ""5"": ""Imad Wasim"", ""6"": ""Sohail Tanvir"", ""7"": ""Shakib Al Hasan"", ""8"": ""Sohail Tanvir"", ""9"": ""Shakib Al Hasan"", ""10"": ""Shoaib Malik"", ""11"": ""Usama Mir"", ""12"": ""RS Bopara"", ""13"": ""Usama Mir"", ""14"": ""RS Bopara"", ""15"": ""Shakib Al Hasan"", ""16"": ""RS Bopara"", ""17"": ""Mohammad Amir"", ""18"": ""RS Bopara"", ""19"": ""Sohail Tanvir"", ""20"": ""Sohail Tanvir""}",6.44,8.74,18.2,23.9,FALSE
Karachi Kings,2017,"{""1"": ""Babar Azam"", ""2"": ""CH Gayle"", ""3"": ""KC Sangakkara"", ""4"": ""Shoaib Malik"", ""5"": ""RS Bopara"", ""6"": ""KA Pollard"", ""7"": ""Imad Wasim"", ""8"": ""Sohail Khan""}",0,20,113.5,112.6,151.9,6.32,11.5,11.5,5.46,3.67,12.67,50,50,"{""1"": ""Mohammad Amir"", ""2"": ""Imad Wasim"", ""3"": ""Mohammad Amir"", ""4"": ""Sohail Khan"", ""5"": ""Usman Shinwari"", ""6"": ""Sohail Khan"", ""7"": ""Imad Wasim"", ""8"": ""Usama Mir"", ""9"": ""Imad Wasim"", ""10"": ""RS Bopara"", ""11"": ""Usama Mir"", ""12"": ""Usman Shinwari"", ""13"": ""Sohail Khan"", ""14"": ""RS Bopara"", ""15"": ""Mohammad Amir"", ""16"": ""Mohammad Amir"", ""17"": ""Sohail Khan"", ""18"": ""Mohammad Amir"", ""19"": ""Usman Shinwari"", ""20"": ""Mohammad Amir""}",7,9.39,20.2,34.8,FALSE
Karachi Kings,2018,"{""1"": ""Khurram Manzoor"", ""2"": ""JL Denly"", ""3"": ""Babar Azam"", ""4"": ""CA Ingram"", ""5"": ""RS Bopara"", ""6"": ""Shahid Afridi"", ""7"": ""Imad Wasim"", ""8"": ""D Wiese""}",0,9.1,103.7,118.7,150,6.56,8.93,8.91,5.63,10.75,6.64,33.3,66.7,"{""1"": ""Imad Wasim"", ""2"": ""Mohammad Amir"", ""3"": ""Usman Shinwari"", ""4"": ""Mohammad Amir"", ""5"": ""Usman Shinwari"", ""6"": ""Mohammad Irfan"", ""7"": ""Shahid Afridi"", ""8"": ""Shahid Afridi"", ""9"": ""Shahid Afridi"", ""10"": ""Shahid Afridi"", ""11"": ""Shahid Afridi"", ""12"": ""Shahid Afridi"", ""13"": ""Shahid Afridi"", ""14"": ""Shahid Afridi"", ""15"": ""Mohammad Irfan"", ""16"": ""TS Mills"", ""17"": ""TS Mills"", ""18"": ""Mohammad Amir"", ""19"": ""TS Mills"", ""20"": ""Mohammad Irfan""}",8.27,8.24,17.5,14.7,FALSE
Karachi Kings,2019,"{""1"": ""Babar Azam"", ""2"": ""C Munro"", ""3"": ""LS Livingstone"", ""4"": ""CA Ingram"", ""5"": ""BR Dunk"", ""6"": ""Iftikhar Ahmed"", ""7"": ""Imad Wasim"", ""8"": ""Aamer Yamin""}",0,45.5,120.6,122.9,133.6,7.92,7.89,5.25,5.83,8.4,10.75,60,40,"{""1"": ""Imad Wasim"", ""2"": ""Mohammad Amir"", ""3"": ""Aamer Yamin"", ""4"": ""Mohammad Amir"", ""5"": ""Imad Wasim"", ""6"": ""Usman Shinwari"", ""7"": ""Umer Khan"", ""8"": ""Imad Wasim"", ""9"": ""Umer Khan"", ""10"": ""Imad Wasim"", ""11"": ""Umer Khan"", ""12"": ""Umer Khan"", ""13"": ""Usman Shinwari"", ""14"": ""Aamer Yamin"", ""15"": ""Usman Shinwari"", ""16"": ""Usman Shinwari"", ""17"": ""Mohammad Amir"", ""18"": ""Sohail Khan"", ""19"": ""Mohammad Amir"", ""20"": ""Aamer Yamin""}",7.8,9.19,16,24.3,FALSE
Karachi Kings,2020,"{""1"": ""Sharjeel Khan"", ""2"": ""Babar Azam"", ""3"": ""AD Hales"", ""4"": ""CS Delport"", ""5"": ""CAK Walton"", ""6"": ""Iftikhar Ahmed"", ""7"": ""Imad Wasim"", ""8"": ""CJ Jordan""}",16.7,36.4,133.5,119.5,154.2,6.5,8.57,9.21,6.25,6.5,6.75,83.3,16.7,"{""1"": ""Mohammad Amir"", ""2"": ""Mohammad Amir"", ""3"": ""Mohammad Amir"", ""4"": ""Mohammad Amir"", ""5"": ""CJ Jordan"", ""6"": ""CJ Jordan"", ""7"": ""Imad Wasim"", ""8"": ""Imad Wasim"", ""9"": ""Arshad Iqbal"", ""10"": ""Iftikhar Ahmed"", ""11"": ""Arshad Iqbal"", ""12"": ""Imad Wasim"", ""13"": ""Arshad Iqbal"", ""14"": ""Umaid Asif"", ""15"": ""Mohammad Amir"", ""16"": ""Imad Wasim"", ""17"": ""Mohammad Amir"", ""18"": ""Mohammad Amir"", ""19"": ""Mohammad Amir"", ""20"": ""CJ Jordan""}",7,9.81,18.9,22.7,FALSE
Karachi Kings,2021,"{""1"": ""Sharjeel Khan"", ""2"": ""Babar Azam"", ""3"": ""MJ Guptill"", ""4"": ""CA Ingram"", ""5"": ""Mohammad Nabi"", ""6"": ""Imad Wasim"", ""7"": ""Danish Aziz"", ""8"": ""Mohammad Ilyas""}",33.3,27.3,114.6,137.6,178.8,9.73,7.59,7.75,9,10.14,10.35,60,40,"{""1"": ""Imad Wasim"", ""2"": ""Mohammad Amir"", ""3"": ""Mohammad Amir"", ""4"": ""Mohammad Amir"", ""5"": ""Mohammad Amir"", ""6"": ""Waqas Maqsood"", ""7"": ""Imad Wasim"", ""8"": ""Arshad Iqbal"", ""9"": ""Imad Wasim"", ""10"": ""DT Christian"", ""11"": ""DT Christian"", ""12"": ""Noor Ahmad"", ""13"": ""Arshad Iqbal"", ""14"": ""Noor Ahmad"", ""15"": ""Arshad Iqbal"", ""16"": ""Arshad Iqbal"", ""17"": ""Mohammad Amir"", ""18"": ""Mohammad Amir"", ""19"": ""Mohammad Amir"", ""20"": ""Mohammad Ilyas""}",8.74,10.33,20.1,15,FALSE
Karachi Kings,2022,"{""1"": ""Sharjeel Khan"", ""2"": ""Babar Azam"", ""3"": ""JM Clarke"", ""4"": ""Qasim Akram"", ""5"": ""Rohail Nazir"", ""6"": ""L Gregory"", ""7"": ""Imad Wasim"", ""8"": ""CJ Jordan""}",16.7,40,113.6,119.6,134.1,7.04,7.43,7.26,7,7.25,7,0,100,"{""1"": ""Imad Wasim"", ""2"": ""Aamer Yamin"", ""3"": ""Imad Wasim"", ""4"": ""Mir Hamza"", ""5"": ""Umaid Asif"", ""6"": ""Umaid Asif"", ""7"": ""Mohammad Nabi"", ""8"": ""Imad Wasim"", ""9"": ""Imad Wasim"", ""10"": ""Imad Wasim"", ""11"": ""Imad Wasim"", ""12"": ""Mohammad Nabi"", ""13"": ""Mohammad Nabi"", ""14"": ""L Gregory"", ""15"": ""Mohammad Nabi"", ""16"": ""L Gregory"", ""17"": ""CJ Jordan"", ""18"": ""Umaid Asif"", ""19"": ""CJ Jordan"", ""20"": ""Umaid Asif""}",7.51,10.64,8.3,18.1,FALSE
Karachi Kings,2023,"{""1"": ""MS Wade"", ""2"": ""JM Vince"", ""3"": ""Haider Ali"", ""4"": ""Shoaib Malik"", ""5"": ""Imad Wasim"", ""6"": ""BCJ Cutting"", ""7"": ""Irfan Khan"", ""8"": ""Aamer Yamin""}",16.7,70,146.6,122,169.1,7.42,8.45,9,8.06,6.23,7.07,0,100,"{""1"": ""Imad Wasim"", ""2"": ""Aamer Yamin"", ""3"": ""Imad Wasim"", ""4"": ""Aamer Yamin"", ""5"": ""Akif Javed"", ""6"": ""Mohammad Amir"", ""7"": ""Imad Wasim"", ""8"": ""Imran Tahir"", ""9"": ""Shoaib Malik"", ""10"": ""Imran Tahir"", ""11"": ""Imran Tahir"", ""12"": ""T Shamsi"", ""13"": ""Imad Wasim"", ""14"": ""Imad Wasim"", ""15"": ""Imran Tahir"", ""16"": ""Imran Tahir"", ""17"": ""AJ Tye"", ""18"": ""Mohammad Amir"", ""19"": ""Mohammad Amir"", ""20"": ""Aamer Yamin""}",7.33,11.8,22.8,16.8,FALSE
Karachi Kings,2024,"{""1"": ""Shan Masood"", ""2"": ""TL Seifert"", ""3"": ""JM Vince"", ""4"": ""Shoaib Malik"", ""5"": ""Mohammad Nawaz"", ""6"": ""KA Pollard"", ""7"": ""Irfan Khan"", ""8"": ""Hasan Ali""}",33.3,20,125.4,118.6,145.5,6.02,8.12,8.72,6.62,5.8,5.27,100,0,"{""1"": ""Mir Hamza"", ""2"": ""B Muzarabani"", ""3"": ""Mir Hamza"", ""4"": ""B Muzarabani"", ""5"": ""Hasan Ali"", ""6"": ""Hasan Ali"", ""7"": ""Zahid Mahmood"", ""8"": ""Mohammad Nawaz"", ""9"": ""Zahid Mahmood"", ""10"": ""T Shamsi"", ""11"": ""Hasan Ali"", ""12"": ""Shoaib Malik"", ""13"": ""Mohammad Nawaz"", ""14"": ""T Shamsi"", ""15"": ""Zahid Mahmood"", ""16"": ""Hasan Ali"", ""17"": ""DR Sams"", ""18"": ""Mir Hamza"", ""19"": ""Hasan Ali"", ""20"": ""Hasan Ali""}",7.78,9.5,15.8,10.2,FALSE
